stock_code,primary_class,confidence_score,annualized_volatility,max_drawdown,autocorr_1d,hurst_exponent,beta_to_vnindex,sample_size,date_range,composite_score
HAH,High_Risk,0.8788861438391136,0.476666603642616,-0.7760707635009311,0.09485129060684817,0.010039295737856165,0.9813479993866581,1496,2018-01-03 to 2023-12-29,0.9465253289674871
DIG,High_Risk,0.8788007404170526,0.5336058405543457,-0.9156928213689483,0.11366784058916525,0.028677167493000463,1.4147818652712694,1497,2018-01-03 to 2023-12-29,0.998220754773184
DSG,High_Risk,0.8771004722064099,0.8346698802435976,-0.8454545454545455,-0.08737841901511247,-0.014123546014201084,0.11468441902863914,1486,2018-01-03 to 2023-12-29,0.8343339465737848
CII,High_Risk,0.8765786760185877,0.437744363240602,-0.81433506044905,0.08622231731373355,0.01015224152235249,1.0732231818129823,1497,2018-01-03 to 2023-12-29,0.7597467390773529
MBS,High_Risk,0.8736116422780651,0.5478348587704223,-0.8034934497816594,-0.023790570777247222,-0.004964081504973253,1.7052540565809966,1494,2018-01-03 to 2023-12-29,0.7248182255582639
CEO,High_Risk,0.8688225902418774,0.663569159129133,-0.9124324324324324,0.08326920997909006,0.012086008146779537,1.7486207082682952,1495,2018-01-03 to 2023-12-29,0.9243480193902552
PET,High_Risk,0.8685305903295905,0.45151562203386214,-0.7964601769911505,0.1408860037116976,0.024739835625008876,1.1388910614784256,1497,2018-01-03 to 2023-12-29,0.8919471027088125
VND,High_Risk,0.8675018284585276,0.5543931815751779,-0.8859154929577465,-0.005958618281622433,0.005374313632169994,1.535085356844195,1490,2018-01-03 to 2023-12-29,0.7729037843356743
UPH,High_Risk,0.8597566221251476,0.7105653893284608,-0.7727272727272727,-0.01642458622657458,-0.0005798217591802807,0.05325331628875959,1487,2018-01-03 to 2023-12-29,0.7388515414889054
SUM,High_Risk,0.8524522334605219,0.5745634328386676,-0.7663551401869159,0.1483963559432602,0.017022137465129435,0.06226083290414053,968,2018-01-08 to 2021-12-01,0.9784816975105056
VIS,High_Risk,0.8519292431912755,0.5857423663028756,-0.7291960507757405,0.09727795398154777,-0.006944838746411607,-0.03092604615492956,1073,2018-01-03 to 2022-05-13,0.7640743777644077
MVN,High_Risk,0.8366458149135446,0.723370603301843,-0.7799227799227799,-0.06590871989007854,-0.0020742355992588294,0.4427163887258144,1298,2018-10-09 to 2023-12-29,0.8204190774226101
BAF,High_Risk,0.8259923080562634,0.5447495216908469,-0.7534992223950233,0.11213717127114115,0.010157510269276132,0.991829653023608,518,2021-12-06 to 2023-12-29,0.9375488775870809
VHM,Low_Risk,0.9823917180865825,0.3519281523401411,-0.6795833333333333,0.05892873498729911,0.003299096253291712,1.0670764295565214,1410,2018-05-18 to 2023-12-29,0.20049501759908814
BMP,Low_Risk,0.9814981393003208,0.33724341981812805,-0.6455223880597014,0.05936451707442837,0.005334309218272751,0.7757682465373175,1496,2018-01-03 to 2023-12-29,0.1389741378882855
IMP,Low_Risk,0.9788896758203897,0.3082348234512734,-0.4652777777777778,-0.07453275978041282,-0.01102835178676797,0.409718810788701,1497,2018-01-03 to 2023-12-29,0.10311727771667756
VNR,Low_Risk,0.9786727690145496,0.41055077080929697,-0.5674418604651162,-0.09666477664537915,-0.01263622973406958,0.6246968726047896,1485,2018-01-03 to 2023-12-29,0.2737846727424622
FMC,Low_Risk,0.9786166416346278,0.36317615802745223,-0.5945945945945945,0.060150043063589766,0.004200880534534979,0.9484216190326125,1496,2018-01-03 to 2023-12-29,0.13561130971356009
DHG,Low_Risk,0.9749598940717882,0.2778470153089233,-0.4116347569955817,0.07040892053604768,0.008572914796398483,0.406725503070052,1497,2018-01-03 to 2023-12-29,0.18087679622445652
TRA,Low_Risk,0.9736961044168394,0.2797997145677411,-0.605982905982906,-0.07170628936639177,-0.011342953808135922,0.26273618310858526,1497,2018-01-03 to 2023-12-29,0.09624857683205777
FOX,Low_Risk,0.9720324765553785,0.3773057960914595,-0.5772972972972973,-0.05192579335835212,-0.007743075103004457,0.4114454975485982,1488,2018-01-03 to 2023-12-29,0.06007200166333461
ACB,Low_Risk,0.9687985453202438,0.36803108255547695,-0.6615087040618955,-0.06461627302959638,-0.001794580436155469,1.1303073569738276,1494,2018-01-03 to 2023-12-29,0.14762427168157904
CSM,Low_Risk,0.9680935376323806,0.3150920666680868,-0.4788418708240535,-0.12092002174552165,-0.017082314738924326,0.5216337241091937,1497,2018-01-03 to 2023-12-29,0.2
UIC,Low_Risk,0.9663100841709391,0.3570890627473099,-0.5313901345291481,-0.15153939841850844,-0.024816165334484438,0.18871291763530165,1497,2018-01-03 to 2023-12-29,0.2
TET,Low_Risk,0.9659860937659206,0.18428826987515146,-0.3114285714285714,0.13786386689657804,0.03126722624486216,0.008375719674565203,1488,2018-01-03 to 2023-12-29,0.30000000000000004
PME,Low_Risk,0.9654360548717589,0.3126287415586655,-0.47398190045248867,-0.12862884563624985,-0.04121874642166326,0.08571763831883303,981,2018-01-03 to 2022-05-13,0.2
TLG,Low_Risk,0.9644546422317963,0.35162692304257853,-0.7490421455938698,-0.03299406830991129,-0.005315261049163063,0.5473488686399218,1497,2018-01-03 to 2023-12-29,0.2626505090994015
DVP,Low_Risk,0.9641872738900641,0.2749056961758086,-0.575113808801214,-0.01383052540009581,-0.002473401680438841,0.4048464477860607,1497,2018-01-03 to 2023-12-29,0.036402782881679814
STG,Low_Risk,0.9641193680710716,0.4218088652589282,-0.4416475972540046,-0.09715879325379478,-0.014878345347140946,0.2578665912704212,1497,2018-01-03 to 2023-12-29,0.32309671387187733
VRE,Low_Risk,0.9626757956614034,0.3799589748297254,-0.7098360655737705,0.02665610159456678,0.01007268326847102,1.2030471734131867,1497,2018-01-03 to 2023-12-29,0.23877585488307163
CTG,Low_Risk,0.961106523356084,0.38516762137199423,-0.6360294117647058,-0.03287840814288091,-0.00595309600974159,1.3486382673867763,1497,2018-01-03 to 2023-12-29,0.03051843226325203
