symbol,volatility,max_drawdown,autocorr,hurst,days,norm_vol,norm_dd,norm_autocorr,norm_hurst,composite_score,risk_class
CARR,0.3897141530224791,0.8154372508951893,-0.03522362510692652,1.0212919511566527,953,0.3017098027094016,0.7534772589696265,0.5997302582898251,0.8190407586240155,0.5485772262950152,High
CAT,0.32880081090017077,0.7175358021917622,-0.0035485454225817246,1.0150790101139375,1509,0.2031569173806105,0.5982285569713183,0.7089020399881368,0.6833749599244258,0.47084923803370965,High
CB,0.2767062458136372,0.615156174405449,-0.11553160105302858,1.0206771685018767,1509,0.11887210357220616,0.43587851480755346,0.3229396422600778,0.8056163627842009,0.32346196060158416,Low
CE,0.359028615013863,0.6726362233486076,-0.05324463544376566,1.0205447810487087,1509,0.25206307174292153,0.5270283711927963,0.537618786871845,0.8027255499713379,0.4467300524265103,High
CF,0.4223579608912391,0.8328248916821857,-0.04162478165289369,1.0142807345574945,1509,0.3545248567106297,0.7810499731505101,0.5776679407829038,0.6659438125495136,0.558252904040937,High
CHD,0.23585248390176047,0.5856721278095736,-0.0695942843174691,1.0164445119237777,1509,0.052774004655443865,0.38912374228591795,0.4812678537259313,0.7131920614201684,0.30541950143515606,Low
CHTR,0.32119545524352977,0.6820501511066335,-0.01498928751778972,1.017475364483631,1509,0.19085206399711652,0.5419566494204933,0.6694702150035877,0.7357017609187636,0.4463920395175885,High
CI,0.3383562424324831,0.6295844942955144,-0.06384183459057885,1.006679526752316,1509,0.21861683659141679,0.45875844114791436,0.5010943290520523,0.4999638167824186,0.37528951446959335,Medium
CL,0.20790580348256366,0.36836104158538585,-0.13853607389573486,1.0183755749180687,1509,0.007558524849012518,0.04451940278990201,0.24365209784673464,0.7553587585863824,0.14064552620456078,Low
CLX,0.26855586645907575,0.5474942297503351,-0.033527294001959924,1.0193827672925873,1509,0.10568544570826233,0.32858256340433295,0.6055768572857859,0.7773518142091146,0.3396995001826735,Low
CMCSA,0.28004716693608434,0.5367816183791538,-0.1208027599074684,1.0193209100052658,1509,0.12427744507541827,0.311594878008315,0.3047719909237989,0.7760010983030473,0.2817439494477263,Low
CME,0.27816558473801284,0.48831097670263235,-0.17559355929826587,1.019087978065841,1509,0.12123319650618201,0.2347318253674847,0.11592923978387021,0.7709147957955165,0.2191901537490439,Low
CMG,0.36150249513314325,0.8925940178209943,0.014875396945306565,1.015743814431828,1509,0.2560656106813212,0.875829768296671,0.7724022626948689,0.6978916289456623,0.5894447901950698,High
CMI,0.2862114412734277,0.6434080949635445,-0.0296084371539103,1.0059350028727396,1509,0.13425074486060476,0.48067942484199405,0.6190836452271485,0.48370639118008,0.3700914935602778,Medium
COP,0.43244344419943087,0.8486794750319248,-0.07390656058073891,1.0201025825106318,1509,0.370842357036944,0.8061916183290949,0.4664051008132944,0.7930697014062953,0.5627824186167945,High
COST,0.23602838172645071,0.7573439829353645,-0.06573472377142181,1.0204944432110652,1509,0.053058593179768694,0.6613549812602979,0.49457027018655175,0.8016263728019801,0.3987066229675052,Medium
CPB,0.2632951943355212,0.5070716732815967,0.020479776619504352,1.0020487404388072,1509,0.09717410158427658,0.2644818835233286,0.7917183976641639,0.3988459533567008,0.31644248055921204,Low
CRM,0.3744646341619114,0.6643760247695761,-0.03493504102868991,1.012063849274724,1509,0.27703730845408536,0.5139296364485574,0.60072489629247,0.6175358990598053,0.44689238348067595,High
CRWD,0.5977400576125109,0.8874070565993978,0.038093815398937914,1.0140596109079365,1147,0.6382789746867698,0.8676044661419724,0.8524271951042008,0.6611153558938977,0.7521899043275295,High
CSCO,0.28351789419387985,0.5088834960322908,-0.11899141804423151,1.0161311283402596,1509,0.12989280245899815,0.2673550088347664,0.31101498764061686,0.7063490165779567,0.26500152281994827,Low
CSX,0.29189968776180614,0.5896671485295519,-0.13225619342470613,1.0241612028614266,1509,0.1434538698962569,0.39545890677476864,0.26529642350295346,0.8816937472041548,0.3172478794119395,Low
CTAS,0.30333907642221114,0.7682904560927137,-0.09995317431106303,1.0262461641923073,1509,0.16196188012194251,0.6787135165184008,0.37663247020006807,0.9272209688962615,0.43644739793393705,Medium
CTVA,0.3561757636239022,0.7027411690268985,-0.08160914776462005,1.0077630222965364,1159,0.24744738778766662,0.5747677438188588,0.4398572538960695,0.523623028640938,0.411743031904032,Medium
CVS,0.2860639906102692,0.5691200610593754,-0.037004988849250214,1.0057483438705634,1509,0.13401218155424846,0.36287605226304637,0.5935905845923862,0.47963050466504664,0.3291488556855952,Low
CVX,0.34608923383575485,0.7464626411941133,-0.11552604739095804,1.0094231305952348,1509,0.23112819434100354,0.6440997291296916,0.32295878359103053,0.5598731582852258,0.40626026902203755,Medium
D,0.26094016867290887,0.401167060791471,-0.07381781923690575,1.0084494617226438,1509,0.09336385959151633,0.09654204358763727,0.46671095799544243,0.5386121219481971,0.2135115607068059,Low
DD,0.342863900473616,0.6757242294462737,-0.042123785314667525,1.001106751350279,1509,0.22590986453162037,0.5319252235353782,0.5759480676405875,0.37827667687671074,0.4029587940890502,Medium
DE,0.3348084083175371,0.7623020255746096,-0.07503513805937578,1.0136521920377795,1509,0.21287672651842524,0.6692172723130769,0.4625153295686692,0.6522189562588248,0.4436408338409095,Medium
DHR,0.2673348845549237,0.72745347377227,-0.07785421391625867,1.0136977041478172,1509,0.10370999525035098,0.6139556545792769,0.45279906248724144,0.6532127588261321,0.381551782853985,Medium
